y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
5.625537734,-8.023360972,0,1,-1.415348556,0,2,2.125553649,3.289592378,1,-3.032086475
-9.730356328,-4.570443672,0,1,5.551381325,0,1,1.61023958,-4.422529575,1,0.284582578
-7.655992297,5.330564221,0,0,-5.736084357,0,0,0.471930018,2.104113895,1,-1.126599597
-0.951576369,-5.507151457,0,0,7.606408466,0,0,3.679889169,2.336266472,1,-2.312437287
4.394110573,-5.951129179,0,1,-6.23568417,0,2,2.19874625,-6.913070242,0,-1.021114992
6.088124879,-3.934831112,1,0,5.887550968,0,1,-1.670269138,-3.604963363,0,1.040866517
-1.828295701,-5.183657459,1,0,-4.5200929,0,1,-3.970257527,0.275906352,1,0.752140269
-3.522029204,-2.577551277,0,1,-4.142005295,0,0,5.717034928,3.365836547,1,-1.917119892
7.168399599,1.012559701,0,0,3.133069919,0,1,1.248668923,-2.581469375,0,-0.016373916
13.88326232,4.941062238,1,0,-4.088663999,0,2,8.208204223,-5.41240065,1,-0.097152172
16.81990801,-2.62330675,0,0,1.892923391,0,0,0.217404551,-4.011658104,1,0.934219696
-9.178062635,-7.685568519,1,0,-7.73873854,0,0,-7.137317224,1.89584653,0,-3.889718983
-13.50666138,-5.152542763,0,1,-2.218308025,0,1,1.211230541,-0.085289346,1,-0.739449337
14.45102174,-5.721120192,0,0,-1.93648804,0,2,2.217436997,-4.155800634,1,-0.762089888
2.809385433,0.10110904,1,0,2.111851452,0,0,2.05199393,-2.360164142,1,0.885350497
-11.94611693,-2.175473776,0,0,-2.668077191,0,1,4.090757388,2.97464085,1,-2.226081714
-3.519017217,4.441315383,0,1,-1.801130739,0,1,1.246776362,-5.165435505,1,-1.891928885
6.951381753,0.397646767,1,0,-2.41091561,0,2,4.259674258,-4.698441777,1,-3.272852436
3.372411348,-9.2295337,1,0,0.858507063,0,2,-6.519963434,-3.536973731,1,2.515776737
11.62980063,-3.255434986,1,0,0.513129123,0,1,-1.90370759,-5.283036942,0,1.007421302
-12.94886978,2.436651173,0,1,3.444068525,0,0,1.17155374,-2.30609468,1,1.407798046
0.117250694,-1.064328304,1,0,-1.120091467,0,2,1.012898784,-1.653858922,1,-0.041850295
8.562364829,1.001726664,0,0,-4.120851876,0,0,16.30629161,-4.216641484,0,2.756803051
6.715348332,-5.069089076,1,0,-7.926387093,0,2,-2.962253663,-5.198766848,1,-3.774971988
-9.515495083,-9.79311855,1,0,-4.285559081,0,0,-4.456831875,-0.836019183,1,-0.286358194
-6.310820048,1.916984413,1,0,-3.46350715,0,1,3.532399246,-1.533574095,1,-0.000446744
4.583044518,-3.378365058,0,1,-2.209161092,0,0,1.531934873,-5.724662878,1,-2.392104413
4.644081954,-9.305424746,0,0,-1.737399278,0,1,1.877340618,1.812827894,1,0.25640568
7.392553227,-5.983640244,0,1,-0.810775999,0,1,1.486951061,-6.941715723,1,-2.935059644
-1.865337348,1.673184438,1,0,4.592489833,0,2,5.218176817,2.590600618,1,-2.833758492
-9.520591251,-5.101200962,1,0,2.823351067,0,2,-2.34142375,0.453402996,1,0.819924686
-8.789996227,2.007832867,1,0,-0.252947956,0,0,2.047820039,-1.320883651,0,3.934526183
-19.19338554,-9.641436087,0,1,-8.229258521,0,1,1.687365626,-3.12465446,1,-1.756421207
-3.396192766,-0.66754947,0,1,-8.4321769,0,0,4.563110349,-5.351063683,0,-2.779392274
-8.451611462,-1.214214149,0,1,8.62984986,0,2,2.113177025,2.477434574,0,-2.204443458
-5.174815755,-7.818934722,1,0,5.074085146,0,0,-4.468450139,-1.087779851,1,0.213637922
11.956872,9.18895965,0,0,-2.636928773,0,1,1.034948878,0.211185045,1,-1.113917634
-0.038076261,8.341250047,0,0,0.880054678,0,0,0.254965193,1.502041263,0,3.5725543
2.20642145,1.414627018,1,0,-9.844945399,0,1,4.579465624,-2.425565985,1,3.997502893
7.29089544,1.644972586,1,0,4.678264726,0,1,3.315837149,-3.843508657,0,0.596257834
-2.572175099,-2.3788461,1,0,8.384882337,0,2,7.417863286,-0.865820695,1,1.013458803
4.320320252,5.571611766,1,0,-7.469938979,0,0,6.564081846,-6.230543189,1,-0.677610151
5.765409311,-1.253675218,1,0,5.576918442,0,2,1.915189408,-5.276638482,0,-0.971749622
-19.86558441,7.269402719,1,0,-1.008614711,0,0,14.09987908,2.277162501,1,-0.623429514
11.70450815,3.516397686,1,0,-2.131526852,0,1,7.47862413,-4.918676769,1,-3.147201156
9.635866644,6.545663159,0,1,-6.886261795,0,0,0.282409429,3.462369527,1,1.976376466
-2.769060251,2.123248726,1,0,0.2900453,0,0,2.469079333,3.795917331,0,1.641158298
7.39291593,-4.47159084,1,0,-1.24147722,0,2,-1.271667972,-4.810204219,1,-1.738942901
6.396726536,-8.80774152,0,0,3.244616571,0,0,0.088202218,1.874610491,1,0.96797891
11.59971537,-5.190738351,1,0,9.663412496,0,0,-2.389735883,-6.709287713,1,-3.756385231
2.907324763,5.243989979,0,0,-1.342446208,0,2,2.629212244,-3.036120323,0,3.39798082
-0.40469628,2.754664104,0,0,-6.886395193,0,0,1.568339061,-5.054293374,1,0.739408707
7.611216641,1.43257489,1,0,-3.875604654,0,1,3.838800984,-3.019736697,1,0.066173369
8.287986225,5.034532025,0,0,-6.721211895,0,0,0.034297052,-4.142281752,1,-1.905373165
-0.937649212,-4.697150565,1,0,-8.190280092,0,0,-0.264053226,-6.233729736,1,2.860136881
8.139972328,-1.952822162,0,0,0.529643102,0,1,1.820925507,-2.671935036,0,2.903141622
2.939320317,1.808215077,0,0,-6.470631114,0,0,2.851210465,-3.015808687,1,3.367175331
6.678519742,7.757364917,0,0,1.099902266,0,1,1.364565693,2.300564218,0,-1.295386126
-0.091325366,-2.29255971,1,0,2.828623485,0,1,-1.28226891,0.962967177,1,1.648516256
-1.515813655,-6.070074611,0,1,7.959865811,0,1,6.03716227,-4.66711414,1,-2.627258712
-4.579427868,-1.94090086,0,1,6.612542327,0,2,2.058135658,1.157661013,1,-1.88808083
4.582600905,4.493665514,1,0,5.171450246,0,1,8.12126784,-6.806047392,1,-2.633517113
-1.649240402,-6.036711708,1,0,-9.825642803,0,1,-4.405737048,-1.025942389,1,-1.281259755
6.100580013,-2.618479603,1,0,-5.286000818,0,0,-2.325025008,-4.936574211,1,1.892290955
-1.566781182,-8.172116578,1,0,-9.415689241,0,2,-3.646277493,-3.660835641,0,-0.038433971
6.928162478,-2.575805071,1,0,-0.655803168,0,2,1.576657105,-1.801421002,1,-1.557371821
-11.24928928,0.098363832,0,1,0.953595899,0,2,2.343683111,-1.989511124,1,-1.352882124
-10.27470554,-6.777746184,0,1,-2.611164763,0,2,2.039830405,-1.233250354,1,-0.420791378
8.432718171,-7.953030053,0,1,-5.425384473,0,0,1.789019725,3.591997895,0,3.174872762
-10.7171583,-2.321996638,1,0,-5.199170476,0,1,-0.855533604,0.598485598,0,0.367360417
-8.039046603,-9.618206336,1,0,3.595664315,0,2,-6.177075891,0.671654536,1,1.774570538
-3.911875464,2.554188194,1,0,-8.554774076,0,0,2.697704777,-1.069751639,1,2.084894121
-0.76042295,9.424394709,1,0,-9.654286723,0,2,14.54998747,-1.704179669,1,2.951045413
7.749178012,0.919943531,0,0,0.580152599,0,0,2.383963309,-5.023595182,0,1.716421058
0.306216546,6.255651042,0,0,9.545324119,0,2,2.17322491,2.051001181,1,1.801396059
3.147157458,2.168707731,0,0,-0.644263988,0,0,0.668952279,3.098818798,1,1.832704423
-1.804197179,2.464394914,1,0,-5.407757517,0,1,5.919748081,-6.102992316,1,2.324423829
2.081799635,8.664813912,1,0,-6.122524794,0,0,9.861463673,-2.381614211,1,0.173182527
8.17852832,-9.781576749,1,0,-9.464379903,0,1,-8.608297901,-6.794636353,1,2.225337347
-19.32624907,-9.418268278,0,1,-4.425763064,0,1,2.841206622,-3.891369625,0,-1.018495567
10.85091852,-2.26971196,1,0,7.088487544,0,2,-0.21145224,-4.482576039,1,1.651580982
-6.346417795,-1.080220747,1,0,3.418276333,0,1,-0.078035103,-1.739421023,1,-3.320597816
-17.02932429,8.263251362,0,1,-4.235518659,0,1,2.217596991,1.372060271,1,0.601980314
0.88068232,-4.561960278,0,0,-5.925942296,0,2,2.412184199,0.284498818,1,1.640183069
-6.698277445,-0.231023761,0,1,7.290605442,0,0,1.711649141,0.516907629,0,2.616941163
1.897935346,-4.819665127,0,1,3.622213551,0,2,2.580270499,3.863458262,1,-1.199489132
-0.587945771,9.103785306,0,0,-0.089671635,0,0,3.436788539,-4.42537165,1,3.004358219
6.102129778,4.233021582,1,0,7.01330089,0,2,6.555932792,-3.151248949,1,2.12750132
-4.452170875,-4.795564315,1,0,6.01999871,0,2,-0.841694583,-0.526133663,1,2.848591842
-2.498859318,-9.969315575,1,0,-0.775598185,0,2,-7.884268675,-6.840330399,0,-1.004116375
-6.672525675,2.684109095,1,0,-7.921867748,0,0,7.784841689,-2.173481113,0,3.791207189
-16.34232463,-2.708664807,1,0,9.476651927,0,0,-2.556979699,0.211737426,1,1.41018777
0.890789608,0.738746938,0,1,-5.659708846,0,0,3.003350117,-4.85373073,1,0.887436949
1.514169226,0.594568555,1,0,6.742675486,0,1,2.235608341,3.52083508,1,-0.16688757
-8.736846225,7.704254957,1,0,-3.160884213,0,0,16.70829067,-1.695082074,0,1.267426688
2.601358391,8.181615793,0,0,-9.886420057,0,2,8.313691793,1.211220867,1,0.539918121
14.11839397,3.893268942,0,0,6.353706466,0,1,1.50236018,-4.587784617,1,2.183180386
-8.104848587,-3.114581457,1,0,-0.820126995,0,0,-3.000127111,2.694537323,0,1.415822659
13.51349985,-1.295071798,0,1,-5.803127564,0,0,1.043377162,3.152689295,0,3.653390702
-1.154775621,-5.937284599,0,0,7.985578962,0,1,1.290879069,1.049011676,1,1.312918158
-7.731504508,-3.833363,0,1,0.104991221,0,1,1.626777057,0.379870945,1,0.246240614
6.897905146,1.093426188,1,0,2.817067327,0,0,1.248926979,-1.155749645,1,-1.623072464
2.171853626,3.719801861,1,0,-5.200736495,0,0,5.085742184,-1.851031384,0,3.665213583
0.548909713,-6.367109045,1,0,-3.400023226,0,1,-3.800732574,-2.644201434,0,1.931997228
-3.775405722,4.977912484,1,0,-4.352465975,0,2,10.30493193,3.7521019,1,1.445692454
-5.191409429,3.316865903,0,1,-6.455490529,0,2,2.256478161,-4.741834714,1,-0.341351861
-0.483548274,4.901822531,1,0,5.208582105,0,1,6.166665159,2.798566611,0,0.948829733
1.799787347,-7.658872232,0,0,4.858988896,0,2,4.17626147,0.992286185,1,-2.760938833
8.622483218,2.06127319,1,0,-9.79525371,0,0,2.283456205,-4.637851708,1,0.569168948
0.516896916,5.995784798,0,0,-9.690220552,0,2,5.789448564,2.62106545,1,1.532395259
-6.281353842,-8.505053236,1,0,-6.512076966,0,2,-6.044933248,0.903225878,1,-3.701424237
-9.823631335,-5.932449456,0,0,5.911504524,0,2,2.938379025,3.772900563,1,2.386996057
12.11319155,-2.718586302,1,0,-6.613667202,0,2,-0.269463379,-4.173648884,0,-1.647146432
0.849535426,2.669338426,1,0,0.744404835,0,2,7.023538629,-1.617508714,0,1.457771987
3.445256775,7.957437369,1,0,8.936666558,0,0,8.906394089,-5.17153505,1,2.7847629
-4.049929285,8.387803077,0,0,-4.948759973,0,1,1.180718145,3.405701072,1,1.49392508
-11.34957809,4.22542227,1,0,-0.642361082,0,0,4.248184508,1.939624369,1,-3.135949932
4.678314688,6.119528483,1,0,4.269618602,0,2,8.574608535,-3.74325817,1,2.284993343
10.84910895,-3.446537261,0,1,2.373617645,0,2,6.699845077,3.789270978,0,-1.39439927
